"x_metric_recla","x_metric_unit_recla","n_articles"
"time/labor required",NA,4
"traders (that buy agri outputs) in the community",NA,7
"type of farm",NA,2
"type of farmer",NA,2
"type of main crop","1= legume, 0= otherwise",1
"type of main crop",NA,1
"units of livestock","1 = More than 2 Animal units; 0 = 2 or fewer Animal units",1
"units of livestock","1= Farm with <4.5 AEU, 0=  otherwise",1
"units of livestock","1= Farm with >61 AEU3, 0=  otherwise",1
"units of livestock","1= Own at least 200 cattle, 0= otherwise",1
"units of livestock","LSU",1
"units of livestock","TLU",17
"units of livestock","TLU/ha",1
"units of livestock","log(TLU)",1
"units of livestock","log(number of animals)",1
"units of livestock","number of animals",9
"units of livestock","number of animals per hectare",1
"use of DFS","1= yes, 0= no",11
"use of soil conservation practice","1= yes, 0= no",6
"use of soil conservation practice",NA,1
"value of livestock","1 = livestock income is not important; 2 = livestock income is important; 3 = livestock income is very important.",3
"value of livestock","LDV (0 = no, 1 = minimal, 2 = moderate and 3 = high)",1
"value of livestock","USD",3
"value of livestock","log(Tsh (Tanzania money))",1
"value of livestock","value of cattle",1
"value of livestock","value of hogs",1
"value of livestock","value of poultry",1
"variation in the main crop price","CV(%)",1
"who made farm decisions",NA,3
"year assessed","1= 2002, 0= otherwise",1
"year assessed","1= 2005, 0= otherwise",1
"year assessed",NA,4
NA,"1 = low or non-irrigated land, 2 = medium, 3 = high",1
NA,"1= grant; 2= selling farm produce; 3= employed; 4= family remittance; 5= business",1
NA,"1= if 90% or more of the production is for cash sales, 0= otherwise",1
NA,"1= no, 0= yes",1
NA,"1= yes, 0= no",7
NA,"log(CV)",1
NA,"nd",1
NA,"number of off-farm activities",1
NA,"scale (0-1)",1
NA,NA,70
