"pcc_factor_unit","moderator","moderator_class","estimate","se","tval","df","pval","ci.lb","ci.ub","beta","se.1","ci.lb.1","ci.ub.1","tval.1","pval.1","df.1","factor_sub_class","significance2"
"Livestock owned (1= yes)","m_sub_region","Central America",-0.0636586861167256,0.300505251699735,-0.211838847263586,20,0.834376640760556,-0.690501656873802,0.563184284640351,-0.0636586861167256,0.300505251699735,-0.690501656873802,0.563184284640351,-0.211838847263586,0.834376640760556,20,"Physical capital","no_significant_negative"
"Livestock owned (1= yes)","m_sub_region","Eastern Africa",0.018963368748317,0.114190726314306,0.166067502680743,20,0.869771153774015,-0.219234312360065,0.257161049856699,0.018963368748317,0.114190726314306,-0.219234312360065,0.257161049856699,0.166067502680743,0.869771153774015,20,"Physical capital","no_significant_positive"
"Livestock owned (1= yes)","m_sub_region","Eastern Asia",0.0772851138802702,0.297125811403843,0.260109054528511,20,0.797438675164363,-0.542508467947358,0.697078695707898,0.0772851138802702,0.297125811403843,-0.542508467947358,0.697078695707898,0.260109054528511,0.797438675164363,20,"Physical capital","no_significant_positive"
"Livestock owned (1= yes)","m_sub_region","Middle Africa",0.0917303809434955,0.172532724636793,0.531669462338821,20,0.600811207195196,-0.268166576106041,0.451627337993032,0.0917303809434955,0.172532724636793,-0.268166576106041,0.451627337993032,0.531669462338821,0.600811207195196,20,"Physical capital","no_significant_positive"
"Livestock owned (1= yes)","m_sub_region","Northern America",-0.0106309641706706,0.106619943307182,-0.0997089647669556,20,0.921568073422265,-0.233036268659011,0.211774340317669,-0.0106309641706706,0.106619943307182,-0.233036268659011,0.211774340317669,-0.0997089647669556,0.921568073422265,20,"Physical capital","no_significant_negative"
"Livestock owned (1= yes)","m_sub_region","South-eastern Asia",0.0512910384826067,0.148698790532797,0.344932452367821,20,0.733746163273464,-0.258889203221452,0.361471280186665,0.0512910384826067,0.148698790532797,-0.258889203221452,0.361471280186665,0.344932452367821,0.733746163273464,20,"Physical capital","no_significant_positive"
"Livestock owned (1= yes)","m_sub_region","Southern Asia",-0.0673046488426419,0.170141144562995,-0.395581262930332,20,0.696601920049085,-0.422212857277028,0.287603559591744,-0.0673046488426419,0.170141144562995,-0.422212857277028,0.287603559591744,-0.395581262930332,0.696601920049085,20,"Physical capital","no_significant_negative"
"Plot size (continuous)","m_sub_region","Eastern Africa",0.129053753867049,0.0711158619921464,1.8146971751717,17,0.0872562510357025,-0.0209875995950259,0.279095107329124,0.129053753867049,0.0711158619921464,-0.0209875995950259,0.279095107329124,1.8146971751717,0.0872562510357025,17,"Physical capital","no_significant_positive"
"Plot size (continuous)","m_sub_region","South-eastern Asia",-0.0710504017528313,0.102461761586843,-0.69343334188737,17,0.497403557012073,-0.287225822480995,0.145125018975333,-0.0710504017528313,0.102461761586843,-0.287225822480995,0.145125018975333,-0.69343334188737,0.497403557012073,17,"Physical capital","no_significant_negative"
"Plot size (continuous)","m_sub_region","Southern Asia",-0.0344645582948072,0.172374065568236,-0.199940508342677,17,0.843899307795627,-0.398142047045134,0.32921293045552,-0.0344645582948072,0.172374065568236,-0.398142047045134,0.32921293045552,-0.199940508342677,0.843899307795627,17,"Physical capital","no_significant_negative"
"Plot size (continuous)","m_sub_region","Western Africa",0.992708440785477,0.242851937987494,4.08771059853184,17,0.00076683560775768,0.480335638912451,1.5050812426585,0.992708440785477,0.242851937987494,0.480335638912451,1.5050812426585,4.08771059853184,0.00076683560775768,17,"Physical capital","significant_positive"
"Soil fertility (1= high)","m_sub_region","Eastern Africa",-0.00304496595199533,0.00947691039134256,-0.321303655543371,17,0.751896886894603,-0.0230394991253803,0.0169495672213896,-0.00304496595199533,0.00947691039134256,-0.0230394991253803,0.0169495672213896,-0.321303655543371,0.751896886894603,17,"Biophysical","no_significant_negative"
"Soil fertility (1= high)","m_sub_region","South-eastern Asia",0.0018958284343602,0.00620052905608076,0.3057526893614,17,0.763505337631323,-0.0111861443589671,0.0149778012276875,0.0018958284343602,0.00620052905608076,-0.0111861443589671,0.0149778012276875,0.3057526893614,0.763505337631323,17,"Biophysical","no_significant_positive"
"Soil fertility (1= high)","m_sub_region","Southern Asia",0.0760781089477031,0.0204049511384913,3.72841416925482,17,0.00167145961618451,0.0330274251707866,0.11912879272462,0.0760781089477031,0.0204049511384913,0.0330274251707866,0.11912879272462,3.72841416925482,0.00167145961618451,17,"Biophysical","significant_positive"
"Relatives and friends (number)","m_sub_region","Eastern Africa",0.0240711985341804,0.00761796246292701,3.15979484689291,19,0.0051583053116802,0.00812661985369458,0.0400157772146662,0.0240711985341804,0.00761796246292701,0.00812661985369458,0.0400157772146662,3.15979484689291,0.0051583053116802,19,"Social capital","significant_positive"
"Relatives and friends (number)","m_sub_region","South-eastern Asia",-0.0086302641296606,0.0121345183761756,-0.711216041883035,19,0.485590967646407,-0.0340281029796559,0.0167675747203347,-0.0086302641296606,0.0121345183761756,-0.0340281029796559,0.0167675747203347,-0.711216041883035,0.485590967646407,19,"Social capital","no_significant_negative"
"Communicate with other farmers (1= yes)","m_sub_region","Eastern Africa",0.142989935756393,0.0251323244391585,5.68948312371783,12,0.00010078912453796,0.0882313048289956,0.197748566683791,0.142989935756393,0.0251323244391585,0.0882313048289956,0.197748566683791,5.68948312371783,0.00010078912453796,12,"Social capital","significant_positive"
"Communicate with other farmers (1= yes)","m_sub_region","Northern America",0.039551088378767,0.0287968130626368,1.373453662832,12,0.194727649052994,-0.023191777375635,0.102293954133169,0.039551088378767,0.0287968130626368,-0.023191777375635,0.102293954133169,1.373453662832,0.194727649052994,12,"Social capital","no_significant_positive"
"Communicate with other farmers (1= yes)","m_sub_region","South-eastern Asia",0.0114169139741615,0.0214322386952471,0.532698153305531,12,0.603967204332674,-0.0352799226635333,0.0581137506118562,0.0114169139741615,0.0214322386952471,-0.0352799226635333,0.0581137506118562,0.532698153305531,0.603967204332674,12,"Social capital","no_significant_positive"
"Communicate with other farmers (1= yes)","m_sub_region","Southern Asia",0.0876125057289266,0.0304783265413823,2.87458386568468,12,0.0139703943283621,0.0212059368337757,0.154019074624077,0.0876125057289266,0.0304783265413823,0.0212059368337757,0.154019074624077,2.87458386568468,0.0139703943283621,12,"Social capital","significant_positive"
"Use of DFS (1= yes)","m_sub_region","Eastern Africa",0.00915630814979962,0.0538077028279456,0.170167237562206,17,0.866887331063425,-0.104368021484026,0.122680637783625,0.00915630814979962,0.0538077028279456,-0.104368021484026,0.122680637783625,0.170167237562206,0.866887331063425,17,"Technical information","no_significant_positive"
"Use of DFS (1= yes)","m_sub_region","Middle Africa",0.00906282858495928,0.0961937303845505,0.0942143375532803,17,0.926040444446288,-0.193888202270263,0.212013859440182,0.00906282858495928,0.0961937303845505,-0.193888202270263,0.212013859440182,0.0942143375532803,0.926040444446288,17,"Technical information","no_significant_positive"
"Use of DFS (1= yes)","m_sub_region","Northern America",0.16716101243154,0.113636610627928,1.47101371211135,17,0.159555541061536,-0.0725912788834413,0.406913303746522,0.16716101243154,0.113636610627928,-0.0725912788834413,0.406913303746522,1.47101371211135,0.159555541061536,17,"Technical information","no_significant_positive"
"Use of DFS (1= yes)","m_sub_region","South-eastern Asia",0.149214687991768,0.168841221394408,0.883757454248729,17,0.389154771411432,-0.207009151086558,0.505438527070094,0.149214687991768,0.168841221394408,-0.207009151086558,0.505438527070094,0.883757454248729,0.389154771411432,17,"Technical information","no_significant_positive"
"Use of DFS (1= yes)","m_sub_region","Western Africa",0.134477715100162,0.0672829378475184,1.99868970354603,17,0.0618925924592415,-0.00747687529292268,0.276432305493248,0.134477715100162,0.0672829378475184,-0.00747687529292268,0.276432305493248,1.99868970354603,0.0618925924592415,17,"Technical information","no_significant_positive"
"Receive support for conservation (1= yes)","m_sub_region","Eastern Africa",0.0293330746285547,0.0672753468342125,0.436015212241723,15,0.669035536927701,-0.114060932808604,0.172727082065713,0.0293330746285547,0.0672753468342125,-0.114060932808604,0.172727082065713,0.436015212241723,0.669035536927701,15,"Financial capital","no_significant_positive"
"Receive support for conservation (1= yes)","m_sub_region","Middle Africa",0.012433054072908,0.0748499174741508,0.166106449979744,15,0.870291414500287,-0.147105768512557,0.171971876658373,0.012433054072908,0.0748499174741508,-0.147105768512557,0.171971876658373,0.166106449979744,0.870291414500287,15,"Financial capital","no_significant_positive"
"Receive support for conservation (1= yes)","m_sub_region","Northern Africa",0.0100478404260509,0.0936159937061188,0.107330382643731,15,0.915949298321529,-0.189489926815983,0.209585607668085,0.0100478404260509,0.0936159937061188,-0.189489926815983,0.209585607668085,0.107330382643731,0.915949298321529,15,"Financial capital","no_significant_positive"
"Receive support for conservation (1= yes)","m_sub_region","Northern America",0.0571996521504606,0.0489066546456154,1.16956787506603,15,0.260424361374522,-0.0470424146687852,0.161441718969706,0.0571996521504606,0.0489066546456154,-0.0470424146687852,0.161441718969706,1.16956787506603,0.260424361374522,15,"Financial capital","no_significant_positive"
"Receive support for conservation (1= yes)","m_sub_region","South-eastern Asia",0.231313763202357,0.130621180657845,1.77087484615738,15,0.0968942225878907,-0.0470986929512884,0.509726219356002,0.231313763202357,0.130621180657845,-0.0470986929512884,0.509726219356002,1.77087484615738,0.0968942225878907,15,"Financial capital","no_significant_positive"
"Receive support for conservation (1= yes)","m_sub_region","Southern Asia",-0.244676577286067,0.0910122375162959,-2.68839206642136,15,0.0168462247251903,-0.438664569580554,-0.0506885849915793,-0.244676577286067,0.0910122375162959,-0.438664569580554,-0.0506885849915793,-2.68839206642136,0.0168462247251903,15,"Financial capital","significant_negative"
"Receive support for conservation (1= yes)","m_sub_region","Southern Europe",0.27701169171731,0.0845845070646848,3.274969628959,15,0.00511475066266683,0.0967240825728903,0.45729930086173,0.27701169171731,0.0845845070646848,0.0967240825728903,0.45729930086173,3.274969628959,0.00511475066266683,15,"Financial capital","significant_positive"
"Marital status (1= married)","m_sub_region","Eastern Africa",-0.000139400236766318,0.032718854478997,-0.0042605475951428,14,0.996660700509572,-0.0703143637672389,0.0700355632937063,-0.000139400236766318,0.032718854478997,-0.0703143637672389,0.0700355632937063,-0.0042605475951428,0.996660700509572,14,"Socio-demographic","no_significant_negative"
"Marital status (1= married)","m_sub_region","Middle Africa",0.136927858696438,0.095455966321312,1.43446097686056,14,0.173400154596445,-0.0678048271518423,0.341660544544718,0.136927858696438,0.095455966321312,-0.0678048271518423,0.341660544544718,1.43446097686056,0.173400154596445,14,"Socio-demographic","no_significant_positive"
"Marital status (1= married)","m_sub_region","South-eastern Asia",0.0102588671739405,0.0500876440550037,0.20481832131443,14,0.840661979668457,-0.0971684450243968,0.117686179372278,0.0102588671739405,0.0500876440550037,-0.0971684450243968,0.117686179372278,0.20481832131443,0.840661979668457,14,"Socio-demographic","no_significant_positive"
"Marital status (1= married)","m_sub_region","Western Africa",-0.0177328920220446,0.0497660225461531,-0.356325282085767,14,0.726909730577378,-0.124470394689651,0.0890046106455618,-0.0177328920220446,0.0497660225461531,-0.124470394689651,0.0890046106455618,-0.356325282085767,0.726909730577378,14,"Socio-demographic","no_significant_negative"
"Non-farm income (continuous)","m_sub_region","Eastern Africa",0.0676142384868396,0.0946489383835171,0.714368693844901,14,0.486740369107273,-0.13538754458368,0.270616021557359,0.0676142384868396,0.0946489383835171,-0.13538754458368,0.270616021557359,0.714368693844901,0.486740369107273,14,"Financial capital","no_significant_positive"
"Non-farm income (continuous)","m_sub_region","Northern Africa",0.193571754088284,0.292077466909476,0.662741142397946,14,0.51825937150113,-0.432872108779912,0.82001561695648,0.193571754088284,0.292077466909476,-0.432872108779912,0.82001561695648,0.662741142397946,0.51825937150113,14,"Financial capital","no_significant_positive"
"Non-farm income (continuous)","m_sub_region","Northern America",-0.0487457253559185,0.279228416812931,-0.174572938930408,14,0.86391461613386,-0.647631116624657,0.55013966591282,-0.0487457253559185,0.279228416812931,-0.647631116624657,0.55013966591282,-0.174572938930408,0.86391461613386,14,"Financial capital","no_significant_negative"
"Non-farm income (continuous)","m_sub_region","South-eastern Asia",-0.0285804660280346,0.169328435738173,-0.168787161491455,14,0.868378391191233,-0.391753840885214,0.334592908829145,-0.0285804660280346,0.169328435738173,-0.391753840885214,0.334592908829145,-0.168787161491455,0.868378391191233,14,"Financial capital","no_significant_negative"
"Non-farm income (continuous)","m_sub_region","Southern Asia",0.00707442790241627,0.199939210443127,0.0353828940643366,14,0.972273973801086,-0.421752529048799,0.435901384853632,0.00707442790241627,0.199939210443127,-0.421752529048799,0.435901384853632,0.0353828940643366,0.972273973801086,14,"Financial capital","no_significant_positive"
"Non-farm income (continuous)","m_sub_region","Southern Europe",0.107430291281345,0.293516774017519,0.366010738708012,14,0.719828609355033,-0.522100578312009,0.736961160874699,0.107430291281345,0.293516774017519,-0.522100578312009,0.736961160874699,0.366010738708012,0.719828609355033,14,"Financial capital","no_significant_positive"
"Non-farm income (continuous)","m_sub_region","Western Africa",0.568437642938115,0.140101705174479,4.05732137399895,14,0.00117628036305076,0.267949370725306,0.868925915150923,0.568437642938115,0.140101705174479,0.267949370725306,0.868925915150923,4.05732137399895,0.00117628036305076,14,"Financial capital","significant_positive"
"Gender (1= male)","m_intervention_recla2","Agro-aquaculture",0.0513118819516683,0.188368504342087,0.272401599889987,127,0.785755630354377,-0.32143539416321,0.424059158066546,0.0513118819516683,0.188368504342087,-0.32143539416321,0.424059158066546,0.272401599889987,0.785755630354377,127,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_intervention_recla2","Agro-silvopasture",0.00268510261963427,0.0720344440539952,0.0372752598412724,127,0.970324059887492,-0.13985806244587,0.145228267685139,0.00268510261963427,0.0720344440539952,-0.13985806244587,0.145228267685139,0.0372752598412724,0.970324059887492,127,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_intervention_recla2","Agroforestry",0.0149359725683304,0.0317840248156266,0.469920743359953,127,0.639217548923097,-0.0479588766283113,0.0778308217649722,0.0149359725683304,0.0317840248156266,-0.0479588766283113,0.0778308217649722,0.469920743359953,0.639217548923097,127,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_intervention_recla2","Combined systems",0.00122097100429532,0.0476724952660867,0.0256116445652867,127,0.97960729791752,-0.0931142938962657,0.0955562359048564,0.00122097100429532,0.0476724952660867,-0.0931142938962657,0.0955562359048564,0.0256116445652867,0.97960729791752,127,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_intervention_recla2","Cover crops",0.0904629378321611,0.0722227165085084,1.25255518215663,127,0.212669192167332,-0.0524527844441806,0.233378660108503,0.0904629378321611,0.0722227165085084,-0.0524527844441806,0.233378660108503,1.25255518215663,0.212669192167332,127,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_intervention_recla2","Crop rotation",0.035318838844282,0.035275010653076,1.00124247138114,127,0.318613481871378,-0.0344840413228757,0.10512171901144,0.035318838844282,0.035275010653076,-0.0344840413228757,0.10512171901144,1.00124247138114,0.318613481871378,127,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_intervention_recla2","Embedded seminatural habitats",-0.0419246668105624,0.054508224070172,-0.76914387738243,127,0.44323598330403,-0.149786605402578,0.0659372717814536,-0.0419246668105624,0.054508224070172,-0.149786605402578,0.0659372717814536,-0.76914387738243,0.44323598330403,127,"Socio-demographic","no_significant_negative"
"Gender (1= male)","m_intervention_recla2","Fallow",0.00473727679322964,0.0663499478669125,0.071398349893686,127,0.943193036501944,-0.126557296172332,0.136031849758791,0.00473727679322964,0.0663499478669125,-0.126557296172332,0.136031849758791,0.071398349893686,0.943193036501944,127,"Socio-demographic","no_significant_positive"
"Gender (1= male)","m_intervention_recla2","Intercropping",-0.060936311599556,0.0393762013071183,-1.54754165147312,127,0.124221031849447,-0.138854707948473,0.0169820847493613,-0.060936311599556,0.0393762013071183,-0.138854707948473,0.0169820847493613,-1.54754165147312,0.124221031849447,127,"Socio-demographic","no_significant_negative"
"Gender (1= male)","m_intervention_recla2","Rotational grazing",-0.0560378209676122,0.187471404351535,-0.298913965900279,127,0.765494259645139,-0.427009898096605,0.314934256161381,-0.0560378209676122,0.187471404351535,-0.427009898096605,0.314934256161381,-0.298913965900279,0.765494259645139,127,"Socio-demographic","no_significant_negative"
"Age (continuous)","m_intervention_recla2","Agro-aquaculture",0.113960576459638,0.191544302601876,0.59495675366813,154,0.552745570921283,-0.264432905953192,0.492354058872468,0.113960576459638,0.191544302601876,-0.264432905953192,0.492354058872468,0.59495675366813,0.552745570921283,154,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_intervention_recla2","Agro-silvopasture",0.010848130629106,0.0795338514995176,0.136396395051631,154,0.891686065968677,-0.146270043233574,0.167966304491786,0.010848130629106,0.0795338514995176,-0.146270043233574,0.167966304491786,0.136396395051631,0.891686065968677,154,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_intervention_recla2","Agroforestry",-0.0122795113987792,0.0286906112615557,-0.427997552468785,154,0.669250847902507,-0.0689574713294259,0.0443984485318676,-0.0122795113987792,0.0286906112615557,-0.0689574713294259,0.0443984485318676,-0.427997552468785,0.669250847902507,154,"Socio-demographic","no_significant_negative"
"Age (continuous)","m_intervention_recla2","Combined systems",0.0114123100390666,0.0500337461176126,0.228092256219235,154,0.819877092943578,-0.0874287579250056,0.110253378003139,0.0114123100390666,0.0500337461176126,-0.0874287579250056,0.110253378003139,0.228092256219235,0.819877092943578,154,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_intervention_recla2","Cover crops",0.0161441539458295,0.0455843111574403,0.354160313842856,154,0.723703193003274,-0.073907108388532,0.106195416280191,0.0161441539458295,0.0455843111574403,-0.073907108388532,0.106195416280191,0.354160313842856,0.723703193003274,154,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_intervention_recla2","Crop rotation",0.00300374479713112,0.031710133988662,0.094725074268217,154,0.924656340729584,-0.0596392462224813,0.0656467358167436,0.00300374479713112,0.031710133988662,-0.0596392462224813,0.0656467358167436,0.094725074268217,0.924656340729584,154,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_intervention_recla2","Embedded seminatural habitats",0.029601469466581,0.0470929822911041,0.628574960141625,154,0.530558529168344,-0.0634301546761362,0.122633093609298,0.029601469466581,0.0470929822911041,-0.0634301546761362,0.122633093609298,0.628574960141625,0.530558529168344,154,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_intervention_recla2","Fallow",0.0124014115650516,0.0845382660077416,0.146695835515669,154,0.883563968339157,-0.15460292339708,0.179405746527183,0.0124014115650516,0.0845382660077416,-0.15460292339708,0.179405746527183,0.146695835515669,0.883563968339157,154,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_intervention_recla2","Intercropping",0.0116132044711655,0.0432743767156173,0.268362142971648,154,0.788779721060136,-0.0738748099580706,0.0971012189004015,0.0116132044711655,0.0432743767156173,-0.0738748099580706,0.0971012189004015,0.268362142971648,0.788779721060136,154,"Socio-demographic","no_significant_positive"
"Age (continuous)","m_intervention_recla2","Rotational grazing",0.0558351555545546,0.134893647860107,0.413919828252098,154,0.679508715673354,-0.210645634924755,0.322315946033864,0.0558351555545546,0.134893647860107,-0.210645634924755,0.322315946033864,0.413919828252098,0.679508715673354,154,"Socio-demographic","no_significant_positive"
"Education (continuous)","m_intervention_recla2","Agro-aquaculture",-0.0762492851663021,0.200198558978715,-0.380868301726432,122,0.703963372820072,-0.472562328193763,0.320063757861159,-0.0762492851663021,0.200198558978715,-0.472562328193763,0.320063757861159,-0.380868301726432,0.703963372820072,122,"Socio-demographic","no_significant_negative"
"Education (continuous)","m_intervention_recla2","Agro-silvopasture",-0.00448391365403658,0.0782147051186291,-0.0573282689902848,122,0.954377490494987,-0.159317734402742,0.150349907094669,-0.00448391365403658,0.0782147051186291,-0.159317734402742,0.150349907094669,-0.0573282689902848,0.954377490494987,122,"Socio-demographic","no_significant_negative"
"Education (continuous)","m_intervention_recla2","Agroforestry",0.105868128152914,0.0325492524848693,3.25255175067776,122,0.00147938764572209,0.0414336318890364,0.170302624416792,0.105868128152914,0.0325492524848693,0.0414336318890364,0.170302624416792,3.25255175067776,0.00147938764572209,122,"Socio-demographic","significant_positive"
"Education (continuous)","m_intervention_recla2","Combined systems",0.0238059789331961,0.068959800610422,0.345215309824986,122,0.730526988239151,-0.112706833975657,0.160318791842049,0.0238059789331961,0.068959800610422,-0.112706833975657,0.160318791842049,0.345215309824986,0.730526988239151,122,"Socio-demographic","no_significant_positive"
"Education (continuous)","m_intervention_recla2","Cover crops",0.141180642082132,0.0676437983938402,2.08711878153472,122,0.0389591901721896,0.00727298700131229,0.275088297162952,0.141180642082132,0.0676437983938402,0.00727298700131229,0.275088297162952,2.08711878153472,0.0389591901721896,122,"Socio-demographic","significant_positive"
"Education (continuous)","m_intervention_recla2","Crop rotation",0.0141366339532386,0.035287314890102,0.400615178493049,122,0.689404161724835,-0.0557181303153264,0.0839913982218037,0.0141366339532386,0.035287314890102,-0.0557181303153264,0.0839913982218037,0.400615178493049,0.689404161724835,122,"Socio-demographic","no_significant_positive"
"Education (continuous)","m_intervention_recla2","Embedded seminatural habitats",0.0311470056367997,0.0601042881514754,0.518216030748134,122,0.605246105741607,-0.0878354358843861,0.150129447157985,0.0311470056367997,0.0601042881514754,-0.0878354358843861,0.150129447157985,0.518216030748134,0.605246105741607,122,"Socio-demographic","no_significant_positive"
"Education (continuous)","m_intervention_recla2","Fallow",0.0460428703782157,0.0977870804871533,0.470848195373463,122,0.638589926239072,-0.147536422271714,0.239622163028146,0.0460428703782157,0.0977870804871533,-0.147536422271714,0.239622163028146,0.470848195373463,0.638589926239072,122,"Socio-demographic","no_significant_positive"
"Education (continuous)","m_intervention_recla2","Intercropping",0.0108721749044991,0.0452558595024247,0.240237949826509,122,0.810549002922508,-0.0787163190673085,0.100460668876307,0.0108721749044991,0.0452558595024247,-0.0787163190673085,0.100460668876307,0.240237949826509,0.810549002922508,122,"Socio-demographic","no_significant_positive"
"Education (continuous)","m_intervention_recla2","Rotational grazing",-0.0618202715714334,0.20088161764234,-0.307744791668799,122,0.758801293145316,-0.459485497446406,0.335844954303539,-0.0618202715714334,0.20088161764234,-0.459485497446406,0.335844954303539,-0.307744791668799,0.758801293145316,122,"Socio-demographic","no_significant_negative"
"Access to non-farm income (1= yes)","m_intervention_recla2","Agro-silvopasture",0.0811852613991667,0.0843881119699859,0.962046187596206,52,0.340478881768654,-0.0881518738705936,0.250522396668927,0.0811852613991667,0.0843881119699859,-0.0881518738705936,0.250522396668927,0.962046187596206,0.340478881768654,52,"Financial capital","no_significant_positive"
"Access to non-farm income (1= yes)","m_intervention_recla2","Agroforestry",0.0105696568138694,0.0302557485004083,0.349343755740393,52,0.728242045077129,-0.0501429442492249,0.0712822578769637,0.0105696568138694,0.0302557485004083,-0.0501429442492249,0.0712822578769637,0.349343755740393,0.728242045077129,52,"Financial capital","no_significant_positive"
"Access to non-farm income (1= yes)","m_intervention_recla2","Combined systems",-0.00996422355406404,0.0422233867522882,-0.235988259599381,52,0.814368818801207,-0.0946916476794272,0.0747632005712991,-0.00996422355406404,0.0422233867522882,-0.0946916476794272,0.0747632005712991,-0.235988259599381,0.814368818801207,52,"Financial capital","no_significant_negative"
"Access to non-farm income (1= yes)","m_intervention_recla2","Cover crops",-0.0154624861602309,0.0623929189030056,-0.247824375459473,52,0.805246299965372,-0.14066303753542,0.109738065214958,-0.0154624861602309,0.0623929189030056,-0.14066303753542,0.109738065214958,-0.247824375459473,0.805246299965372,52,"Financial capital","no_significant_negative"
"Access to non-farm income (1= yes)","m_intervention_recla2","Crop rotation",0.0197253591807165,0.0257839157461387,0.765025738329544,52,0.447714445923117,-0.0320138529732525,0.0714645713346855,0.0197253591807165,0.0257839157461387,-0.0320138529732525,0.0714645713346855,0.765025738329544,0.447714445923117,52,"Financial capital","no_significant_positive"
"Access to non-farm income (1= yes)","m_intervention_recla2","Embedded seminatural habitats",0.0487457253559185,0.11186150158537,0.435768559022219,52,0.664808339736502,-0.175720799409768,0.273212250121605,0.0487457253559185,0.11186150158537,-0.175720799409768,0.273212250121605,0.435768559022219,0.664808339736502,52,"Financial capital","no_significant_positive"
"Access to non-farm income (1= yes)","m_intervention_recla2","Fallow",0.0630472020210413,0.0617934138994519,1.02028999601203,52,0.312314474320381,-0.0609503545541483,0.187044758596231,0.0630472020210413,0.0617934138994519,-0.0609503545541483,0.187044758596231,1.02028999601203,0.312314474320381,52,"Financial capital","no_significant_positive"
"Access to non-farm income (1= yes)","m_intervention_recla2","Intercropping",0.0817714792430771,0.0327977088281816,2.49320706124492,52,0.0158803212063059,0.0159580616096629,0.147584896876491,0.0817714792430771,0.0327977088281816,0.0159580616096629,0.147584896876491,2.49320706124492,0.0158803212063059,52,"Financial capital","significant_positive"
"Access to non-farm income (1= yes)","m_intervention_recla2","Rotational grazing",-0.152143200602167,0.116685072338602,-1.30387887287477,52,0.198017626268786,-0.386288928208814,0.0820025270044804,-0.152143200602167,0.116685072338602,-0.386288928208814,0.0820025270044804,-1.30387887287477,0.198017626268786,52,"Financial capital","no_significant_negative"
"Extension frequency (number of contacts)","m_intervention_recla2","Agro-silvopasture",0.000271753214914734,0.229860503426294,0.00118225276140959,16,0.999071314131269,-0.487010746080152,0.487554252509981,0.000271753214914734,0.229860503426294,-0.487010746080152,0.487554252509981,0.00118225276140959,0.999071314131269,16,"Technical information","no_significant_positive"
"Extension frequency (number of contacts)","m_intervention_recla2","Agroforestry",0.179880128938566,0.0639971400211706,2.810752619243,16,0.0125595711403683,0.0442122526726817,0.31554800520445,0.179880128938566,0.0639971400211706,0.0442122526726817,0.31554800520445,2.810752619243,0.0125595711403683,16,"Technical information","significant_positive"
"Extension frequency (number of contacts)","m_intervention_recla2","Combined systems",0.0207624886621433,0.219432335927245,0.0946190932818,16,0.925792223892329,-0.444413283090523,0.485938260414809,0.0207624886621433,0.219432335927245,-0.444413283090523,0.485938260414809,0.0946190932818,0.925792223892329,16,"Technical information","no_significant_positive"
"Extension frequency (number of contacts)","m_intervention_recla2","Cover crops",0.687511090293476,0.17550116662797,3.91741606909583,16,0.00122789229030807,0.315465237139329,1.05955694344762,0.687511090293476,0.17550116662797,0.315465237139329,1.05955694344762,3.91741606909583,0.00122789229030807,16,"Technical information","significant_positive"
"Extension frequency (number of contacts)","m_intervention_recla2","Crop rotation",0.103615034453085,0.102375893708135,1.01210383323717,16,0.326550158397397,-0.113412165131302,0.320642234037472,0.103615034453085,0.102375893708135,-0.113412165131302,0.320642234037472,1.01210383323717,0.326550158397397,16,"Technical information","no_significant_positive"
"Extension frequency (number of contacts)","m_intervention_recla2","Embedded seminatural habitats",0.897597395590412,0.213064282220421,4.21280087979187,16,0.000660578421060382,0.445921294636569,1.34927349654425,0.897597395590412,0.213064282220421,0.445921294636569,1.34927349654425,4.21280087979187,0.000660578421060382,16,"Technical information","significant_positive"
"Extension frequency (number of contacts)","m_intervention_recla2","Intercropping",0.0992385452096904,0.234383212493564,0.423402956866696,16,0.67763792055149,-0.397631669003918,0.596108759423299,0.0992385452096904,0.234383212493564,-0.397631669003918,0.596108759423299,0.423402956866696,0.67763792055149,16,"Technical information","no_significant_positive"
"Access to irrigation (1= yes)","m_intervention_recla2","Agro-aquaculture",-0.0635975861867042,0.277797324327484,-0.22893520065633,12,0.822774476253788,-0.668865960478655,0.541670788105247,-0.0635975861867042,0.277797324327484,-0.668865960478655,0.541670788105247,-0.22893520065633,0.822774476253788,12,"Physical capital","no_significant_negative"
"Access to irrigation (1= yes)","m_intervention_recla2","Agroforestry",0.0484369539770877,0.125314311798371,0.386523720092099,12,0.705875239284542,-0.224599476310123,0.321473384264298,0.0484369539770877,0.125314311798371,-0.224599476310123,0.321473384264298,0.386523720092099,0.705875239284542,12,"Physical capital","no_significant_positive"
