"article_id","model_id","main_crop","country","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","intervention_recla_detail_4","y_metric_recla","x_metric_raw","x_metric_recla","x_metric_unit_raw","x_metric_unit_recla","x_data_type","transformation_coefficient","transformation_variance_num","model_analysis_raw","m_model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","variance_ci_l","variance_ci_l_num","variance_ci_u","variance_ci_u_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","limitation_of_use_obs","factor_metric","coefficient_variance_type","model_coefficient_variance_type","t_value_pcc","b_logOR","se_logOR","m_region","m_sub_region","Developed_Developing","m_intervention_recla2","m_exact_variance_value","m_random_sample","m_mean_farm_size_ha","m_sampling_unit","m_type_data","m_av_year_assessment","factor_sub_class.x","x_metric_recla2","pcc_unit","logor_unit","n_articles","pcc","logor","pcc_factor_unit","ES_ID","yi","vi","factor_sub_class.y","AIC.three_level","AIC.within","AIC.between","LRT.pval.within","LRT.pval.between","best_model"
270,1,"Maize","Kenya","intercropping",NA,NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Ln (Farm size)","farm size","ln(ha)","ln(ha)","continuous","none",NA,"multivariate probit model","probit","B",-0.464,-0.464,"SE","4.2999999999999997E-2",0.043,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",30,30,2687,2687,"no limitation","farm size (ln(ha))","B_SE","probit_B_SE",-10.7906976744186,-0.7424,0.0688,"Africa","Eastern Africa","Developing regions","Intercropping",1,1,"1.1919999999999999",0,1,2011,"Physical capital","Farm size","continuous",NA,2,1,"-","Farm size (continuous)",217,-0.20493612162209,0.000345414479669485,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
270,1,"Maize","Kenya","intercropping",NA,NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Household has received extension services","access to agricultural extension","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"multivariate probit model","probit","B",0.104,0.104,"SE","0.06",0.06,"na",NA,"na",NA,"nd",NA,"0.1",0.1,"nd",30,30,2687,2687,"no limitation","access to agricultural extension (1= yes, 0= no)","B_SE","probit_B_SE",1.73333333333333,0.1664,0.096,"Africa","Eastern Africa","Developing regions","Intercropping",1,1,"1.1919999999999999",0,1,2011,"Technical information","Access to extension","1= yes","1= yes",53,1,"1","Access to extension (1= yes)",218,0.0336141827830135,0.000375514283077038,"Technical information",-67.7807,-50.9383,-39.2178,"LRT = 18.8424, p < 0.0001","LRT = 30.5629, p = 0","Three-level"
270,1,"Maize","Kenya","intercropping",NA,NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Distance to nearest main market","distance to market","minutes","minutes","continuous","none",NA,"multivariate probit model","probit","B",0.001,0.001,"SE","1E-3",0.001,"na",NA,"na",NA,"nd",NA,"0.1",0.1,"nd",30,30,2687,2687,"no limitation","distance to market (minutes)","B_SE","probit_B_SE",1,0.0016,0.0016,"Africa","Eastern Africa","Developing regions","Intercropping",1,1,"1.1919999999999999",0,1,2011,"Accessibility","Distance market","continuous","minutes",6,1,"2","Distance market (continuous)",219,0.0194001113569588,0.00037608107377071,"Accessibility",3.1385,318.8201,6.8742,"LRT = 317.6816, p < 0.0001","LRT = 5.7357, p = 0.0166","Three-level"
270,1,"Maize","Kenya","intercropping",NA,NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Plot distance to residence walking minutes","distance farm-house","minutes","minutes","continuous","none",NA,"multivariate probit model","probit","B",-0.004,-0.004,"SE","2E-3",0.002,"na",NA,"na",NA,"nd",NA,"0.05",0.05,"nd",30,30,2687,2687,"no limitation","distance farm-house (minutes)","B_SE","probit_B_SE",-2,-0.0064,0.0032,"Africa","Eastern Africa","Developing regions","Intercropping",1,1,"1.1919999999999999",0,1,2011,"Accessibility","Distance farm-house","continuous","minutes",9,1,"2","Distance farm-house (continuous)",221,-0.0387783367164741,0.000375233248963243,"Accessibility",-33.1386,60.2305,-18.7032,"LRT = 95.3691, p < 0.0001","LRT = 16.4354, p = 1e-04","Three-level"
270,2,"Maize","Kenya","crop rotation","two crops",NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Household size","h size","number of people","number of people","continuous","none",NA,"multivariate probit model","probit","B",-0.004,-0.004,"SE","1.0999999999999999E-2",0.011,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"no limitation","h size (number of people)","B_SE","probit_B_SE",-0.363636363636364,-0.0064,0.0176,"Africa","Eastern Africa","Developing regions","Crop rotation",1,1,"1.1919999999999999",0,1,2011,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",232,-0.00705573823403206,0.000376326848172502,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
270,2,"Maize","Kenya","crop rotation","two crops",NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Household group membership","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"multivariate probit model","probit","B",0.037,0.037,"SE","6.3E-2",0.063,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"no limitation","hh association member (1= yes, 0= no)","B_SE","probit_B_SE",0.587301587301587,0.0592,0.1008,"Africa","Eastern Africa","Developing regions","Crop rotation",1,1,"1.1919999999999999",0,1,2011,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",235,0.0113951209999561,0.000376266586110463,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
270,2,"Maize","Kenya","crop rotation","two crops",NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Livestock ownership","units of livestock","TLU","TLU","continuous","none",NA,"multivariate probit model","probit","B",0.007,0.007,"SE","1.4E-2",0.014,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"no limitation","units of livestock (TLU)","B_SE","probit_B_SE",0.5,0.0112,0.0224,"Africa","Eastern Africa","Developing regions","Crop rotation",1,1,"1.1919999999999999",0,1,2011,"Physical capital","Livestock units","continuous","TLU",17,1,"1","Livestock units (continuous)",236,0.00970142500145332,0.000376293478947691,"Physical capital",-52.6923,-13.7226,-17.2244,"LRT = 40.9696, p < 0.0001","LRT = 37.4679, p = 0","Three-level"
270,2,"Maize","Kenya","crop rotation","two crops",NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Ln (Farm size)","farm size","ln(ha)","ln(ha)","continuous","none",NA,"multivariate probit model","probit","B",-0.356,-0.356,"SE","0.04",0.04,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"no limitation","farm size (ln(ha))","B_SE","probit_B_SE",-8.9,-0.5696,0.064,"Africa","Eastern Africa","Developing regions","Crop rotation",1,1,"1.1919999999999999",0,1,2011,"Physical capital","Farm size","continuous",NA,2,1,"-","Farm size (continuous)",237,-0.170174572726359,0.000354881398414044,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
270,2,"Maize","Kenya","crop rotation","two crops",NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Household has received extension services","access to agricultural extension","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"multivariate probit model","probit","B",0.001,0.001,"SE","0.06",0.06,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"no limitation","access to agricultural extension (1= yes, 0= no)","B_SE","probit_B_SE",0.0166666666666667,0.0016,0.096,"Africa","Eastern Africa","Developing regions","Crop rotation",1,1,"1.1919999999999999",0,1,2011,"Technical information","Access to extension","1= yes","1= yes",53,1,"1","Access to extension (1= yes)",238,0.000323396035466452,0.000376364241938284,"Technical information",-67.7807,-50.9383,-39.2178,"LRT = 18.8424, p < 0.0001","LRT = 30.5629, p = 0","Three-level"
270,2,"Maize","Kenya","crop rotation","two crops",NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Distance to nearest main market","distance to market","minutes","minutes","continuous","none",NA,"multivariate probit model","probit","B",0.001,0.001,"SE","1E-3",0.001,"na",NA,"na",NA,"nd",NA,"0.1",0.1,"nd",30,30,2687,2687,"no limitation","distance to market (minutes)","B_SE","probit_B_SE",1,0.0016,0.0016,"Africa","Eastern Africa","Developing regions","Crop rotation",1,1,"1.1919999999999999",0,1,2011,"Accessibility","Distance market","continuous","minutes",6,1,"2","Distance market (continuous)",239,0.0194001113569588,0.00037608107377071,"Accessibility",3.1385,318.8201,6.8742,"LRT = 317.6816, p < 0.0001","LRT = 5.7357, p = 0.0166","Three-level"
270,2,"Maize","Kenya","crop rotation","two crops",NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Plot distance to residence walking minutes","distance farm-house","minutes","minutes","continuous","none",NA,"multivariate probit model","probit","B",-0.001,-0.001,"SE","2E-3",0.002,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"no limitation","distance farm-house (minutes)","B_SE","probit_B_SE",-0.5,-0.0016,0.0032,"Africa","Eastern Africa","Developing regions","Crop rotation",1,1,"1.1919999999999999",0,1,2011,"Accessibility","Distance farm-house","continuous","minutes",9,1,"2","Distance farm-house (continuous)",241,-0.00970142500145332,0.000376293478947691,"Accessibility",-33.1386,60.2305,-18.7032,"LRT = 95.3691, p < 0.0001","LRT = 16.4354, p = 1e-04","Three-level"
286,1,"Vegetables","Indonesia","crop rotation",NA,NA,"annual crops",NA,"diversity adoption (1=yes, 0=no)","Access to climate information","access to agricultural information","1= access to climate information, 0= otherwise","1= yes, 0= no","categorical (binary)","none",NA,"logistic regression model","logit","B",4.052,4.052,"P","nd",0.3,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",11,11,112,112,"no limitation","access to agricultural information (1= yes, 0= no)","B_P","logit_B_P",1.03643338949379,4.052,3.90956142582309,"Asia","South-eastern Asia","Developing regions","Crop rotation",0,1,"nd",1,1,2018,"Technical information","Access to information","1= yes","1= yes",20,1,"1","Access to information (1= yes)",254,0.103091118574674,0.00969165734874017,"Technical information",-12.918,97.5666,0.0673,"LRT = 112.4846, p < 0.0001","LRT = 14.9853, p = 1e-04","Three-level"
286,1,"Vegetables","Indonesia","crop rotation",NA,NA,"annual crops",NA,"diversity adoption (1=yes, 0=no)","Farmer group membership","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logistic regression model","logit","B",0.375,0.375,"P","nd",0.3,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",11,11,112,112,"no limitation","hh association member (1= yes, 0= no)","B_P","logit_B_P",1.03643338949379,0.375,0.36181775288343,"Asia","South-eastern Asia","Developing regions","Crop rotation",0,1,"nd",1,1,2018,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",255,0.103091118574674,0.00969165734874017,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
286,2,"Vegetables","Indonesia","crop rotation",NA,NA,"annual crops",NA,"diversity adoption (1=yes, 0=no)","Access to climate information","access to agricultural information","1= access to climate information, 0= otherwise","1= yes, 0= no","categorical (binary)","none",NA,"logistic regression model","logit","B",2.997,2.997,"P","0.05",0.05,"na",NA,"na",NA,"nd",NA,"0.05",0.05,"nd",11,11,112,112,"no limitation","access to agricultural information (1= yes, 0= no)","B_P","logit_B_P",1.95996398454005,2.997,1.52910973040319,"Asia","South-eastern Asia","Developing regions","Crop rotation",0,1,"nd",1,1,2018,"Technical information","Access to information","1= yes","1= yes",20,1,"1","Access to information (1= yes)",262,0.192336939268008,0.00918199527223385,"Technical information",-12.918,97.5666,0.0673,"LRT = 112.4846, p < 0.0001","LRT = 14.9853, p = 1e-04","Three-level"
286,2,"Vegetables","Indonesia","crop rotation",NA,NA,"annual crops",NA,"diversity adoption (1=yes, 0=no)","Farmer group membership","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logistic regression model","logit","B",1.626,1.626,"P","0.1",0.1,"na",NA,"na",NA,"nd",NA,"0.1",0.1,"nd",11,11,112,112,"no limitation","hh association member (1= yes, 0= no)","B_P","logit_B_P",1.64485362695147,1.626,0.988537808688536,"Asia","South-eastern Asia","Developing regions","Crop rotation",0,1,"nd",1,1,2018,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",263,0.162304407774941,0.00938622274625655,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
290,1,"Potato, wheat","Ethiopia","agroforestry","alley cropping",NA,"exotic trees",NA,"diversity adoption (1=yes, 0=no)","Family size","h size","number of people","number of people","continuous","none",NA,"Probit double-hurdle model","probit","B",-0.219,-0.219,"SE","6.4000000000000001E-2",0.064,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",24,24,313,313,"no limitation","h size (number of people)","B_SE","probit_B_SE",-3.421875,-0.3504,0.1024,"Africa","Eastern Africa","Developing regions","Agroforestry",1,1,"1.31",1,1,2020,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",269,-0.197657857241032,0.00319511799542185,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
290,1,"Potato, wheat","Ethiopia","agroforestry","alley cropping",NA,"exotic trees",NA,"diversity adoption (1=yes, 0=no)","Livestock","units of livestock","TLU","TLU","continuous","none",NA,"Probit double-hurdle model","probit","B",-0.096,-0.096,"SE","0.04",0.04,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",24,24,313,313,"no limitation","units of livestock (TLU)","B_SE","probit_B_SE",-2.4,-0.1536,0.064,"Africa","Eastern Africa","Developing regions","Agroforestry",1,1,"1.31",1,1,2020,"Physical capital","Livestock units","continuous","TLU",17,1,"1","Livestock units (continuous)",272,-0.140028008402801,0.00332584353369545,"Physical capital",-52.6923,-13.7226,-17.2244,"LRT = 40.9696, p < 0.0001","LRT = 37.4679, p = 0","Three-level"
290,1,"Potato, wheat","Ethiopia","agroforestry","alley cropping",NA,"exotic trees",NA,"diversity adoption (1=yes, 0=no)","Land holding","farm size","ha","ha","continuous","none",NA,"Probit double-hurdle model","probit","B",0.08,0.08,"SE","0.16",0.16,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",24,24,313,313,"no limitation","farm size (ha)","B_SE","probit_B_SE",0.5,0.128,0.256,"Africa","Eastern Africa","Developing regions","Agroforestry",1,1,"1.31",1,1,2020,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",273,0.029450003202688,0.00345420812054214,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
290,1,"Potato, wheat","Ethiopia","agroforestry","alley cropping",NA,"exotic trees",NA,"diversity adoption (1=yes, 0=no)","Association","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"Probit double-hurdle model","probit","B",4.823,4.823,"SE","0.34799999999999998",0.348,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",24,24,313,313,"no limitation","hh association member (1= yes, 0= no)","B_SE","probit_B_SE",13.8591954022989,7.7168,0.5568,"Africa","Eastern Africa","Developing regions","Agroforestry",1,1,"1.31",1,1,2020,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",274,0.632531901125833,0.00124527364083901,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
290,1,"Potato, wheat","Ethiopia","agroforestry","alley cropping",NA,"exotic trees",NA,"diversity adoption (1=yes, 0=no)","Labor availability in the  household","h adult members","Adult equivalent","number of people","continuous","none",NA,"Probit double-hurdle model","probit","B",0.48,0.48,"SE","9.1999999999999998E-2",0.092,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",24,24,313,313,"no limitation","h adult members (number of people)","B_SE","probit_B_SE",5.21739130434783,0.768,0.1472,"Africa","Eastern Africa","Developing regions","Agroforestry",1,1,"1.31",1,1,2020,"Social capital","Adults in household","continuous","number of people",15,1,"1","Adults in household (continuous)",282,0.293863549692117,0.00288839359886621,"Social capital",1.054,167.3487,7.8341,"LRT = 168.2946, p < 0.0001","LRT = 8.7801, p = 0.003","Three-level"
309,1,"Corn","Philippines","embedded seminatural infrastructures","hedgerow",NA,"shrubs and grasses",NA,"diversity adoption (1=yes, 0=no)","farm size","farm size","ha","ha","continuous","none",NA,"probit regression model","probit","B",0.1666,0.1666,"SE","8.2100000000000006E-2",0.0821,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",7,7,89,89,"no limitation","farm size (ha)","B_SE","probit_B_SE",2.02923264311815,0.26656,0.13136,"Asia","South-eastern Asia","Developing regions","Embedded seminatural habitats",1,0,"nd",0,1,1994,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",283,0.219948843544064,0.0110437243213578,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
312,1,"Rubber","Thailand","agroforestry",NA,NA,"exotic trees",NA,"diversity adoption (1=yes, 0=no)","Farm size rai","farm size","rai (1 rai = 0.16 ha)","ha","continuous","0.16",0.16,"Probit model with heteroscedasticity-robust standard errors","probit","B",0.0141,0.0141,"SE","2.7000000000000001E-3",0.0027,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",19,19,3344,3344,"no limitation","farm size (ha)","B_SE","probit_B_SE",5.22222222222222,0.0036096,0.0006912,"Asia","South-eastern Asia","Developing regions","Agroforestry",1,0,"2.7839999999999998",0,0,2013,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",290,0.0902091384542171,0.000295876945761033,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
337,1,"Maize","Ethiopia, Ghana, Kenya, Malawi,  Mozambique, Nigeria, Tanzania, Uganda,  Zambia","crop rotation",NA,NA,"annual crops",NA,"diversity adoption (1=yes, 0=no)","Household size","h size","number of people","number of people","continuous","none",NA,"logit regression model","logit","B",-0.012,-0.012,"SE","1.4999999999999999E-2",0.015,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",13,13,3155,3155,"no limitation","h size (number of people)","B_SE","logit_B_SE",-0.8,-0.012,0.015,"Africa",NA,NA,"Crop rotation",1,1,"2.2599999999999998",1,0,2008,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",300,-0.0142728853775097,0.0003181389595754,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
337,1,"Maize","Ethiopia, Ghana, Kenya, Malawi,  Mozambique, Nigeria, Tanzania, Uganda,  Zambia","crop rotation",NA,NA,"annual crops",NA,"diversity adoption (1=yes, 0=no)","Farm size","farm size","ha","ha","continuous","none",NA,"logit regression model","logit","B",0.046,0.046,"SE","2.5000000000000001E-2",0.025,"na",NA,"na",NA,"nd",NA,"0.1",0.1,"nd",13,13,3155,3155,"no limitation","farm size (ha)","B_SE","logit_B_SE",1.84,0.046,0.025,"Africa",NA,NA,"Crop rotation",1,1,"2.2599999999999998",1,0,2008,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",302,0.032813301096833,0.000317583619940343,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
337,1,"Maize","Ethiopia, Ghana, Kenya, Malawi,  Mozambique, Nigeria, Tanzania, Uganda,  Zambia","crop rotation",NA,NA,"annual crops",NA,"diversity adoption (1=yes, 0=no)","Livestock holding","units of livestock","TLU","TLU","continuous","none",NA,"logit regression model","logit","B",0.125,0.125,"SE","3.1E-2",0.031,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",13,13,3155,3155,"no limitation","units of livestock (TLU)","B_SE","logit_B_SE",4.03225806451613,0.125,0.031,"Africa",NA,NA,"Crop rotation",1,1,"2.2599999999999998",1,0,2008,"Physical capital","Livestock units","continuous","TLU",17,1,"1","Livestock units (continuous)",303,0.07176178073592,0.000314999049525454,"Physical capital",-52.6923,-13.7226,-17.2244,"LRT = 40.9696, p < 0.0001","LRT = 37.4679, p = 0","Three-level"
337,1,"Maize","Ethiopia, Ghana, Kenya, Malawi,  Mozambique, Nigeria, Tanzania, Uganda,  Zambia","crop rotation",NA,NA,"annual crops",NA,"diversity adoption (1=yes, 0=no)","Extension access","access to agricultural extension","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logit regression model","logit","B",0.174,0.174,"SE","0.13",0.13,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",13,13,3155,3155,"no limitation","access to agricultural extension (1= yes, 0= no)","B_SE","logit_B_SE",1.33846153846154,0.174,0.13,"Africa",NA,NA,"Crop rotation",1,1,"2.2599999999999998",1,0,2008,"Technical information","Access to extension","1= yes","1= yes",53,1,"1","Access to extension (1= yes)",307,0.0238752601509965,0.000317905878051375,"Technical information",-67.7807,-50.9383,-39.2178,"LRT = 18.8424, p < 0.0001","LRT = 30.5629, p = 0","Three-level"
337,1,"Maize","Ethiopia, Ghana, Kenya, Malawi,  Mozambique, Nigeria, Tanzania, Uganda,  Zambia","crop rotation",NA,NA,"annual crops",NA,"diversity adoption (1=yes, 0=no)","Group membership","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logit regression model","logit","B",0.602,0.602,"SE","0.16500000000000001",0.165,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",13,13,3155,3155,"no limitation","hh association member (1= yes, 0= no)","B_SE","logit_B_SE",3.64848484848485,0.602,0.165,"Africa",NA,NA,"Crop rotation",1,1,"2.2599999999999998",1,0,2008,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",308,0.064962130769674,0.000315588049711559,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
348,4,"nd","Nepal","land with temporary fallow","natural fallow",NA,NA,NA,"diversity adoption (1=yes, 0=no)","Household size","h size","number of people","number of people","continuous","none",NA,"logit marginal model","logit","ME",-0.001,-0.001,"SE","1E-3",0.001,"na",NA,"na",NA,"nd",NA,NA,NA,"nd",19,19,3783,3783,"no limitation","h size (number of people)","ME_SE","logit_ME_SE",-1,NA,NA,"Asia","Southern Asia","Developing regions","Fallow",1,1,"0.83",1,0,2016,"Socio-demographic","Household size","continuous","number of people",63,1,"1","Household size (continuous)",310,-0.0162995341659702,0.000265533666566167,"Socio-demographic",-128.3748,-111.5452,-41.2364,"LRT = 18.8296, p < 0.0001","LRT = 89.1384, p = 0","Three-level"
348,4,"nd","Nepal","land with temporary fallow","natural fallow",NA,NA,NA,"diversity adoption (1=yes, 0=no)","Land size (2011)","farm size","ha","ha","continuous","none",NA,"logit marginal model","logit","ME",0.03,0.03,"SE","0.01",0.01,"na",NA,"na",NA,"nd",NA,"0.01",0.01,"nd",19,19,3783,3783,"no limitation","farm size (ha)","ME_SE","logit_ME_SE",3,NA,NA,"Asia","Southern Asia","Developing regions","Fallow",1,1,"0.83",1,0,2016,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",311,0.0488467206769377,0.000264408525176498,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
348,4,"nd","Nepal","land with temporary fallow","natural fallow",NA,NA,NA,"diversity adoption (1=yes, 0=no)","Involve in community","hh association member","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"logit marginal model","logit","ME",0.03,0.03,"SE","0.02",0.02,"na",NA,"na",NA,"nd",NA,NA,NA,"nd",19,19,3783,3783,"no limitation","hh association member (1= yes, 0= no)","ME_SE","logit_ME_SE",1.5,NA,NA,"Asia","Southern Asia","Developing regions","Fallow",1,1,"0.83",1,0,2016,"Social capital","Association member","1= yes","1= yes",57,1,"1","Association member (1= yes)",312,0.0244452425326059,0.000265357390362595,"Social capital",-25.3603,314.736,-8.0675,"LRT = 342.0963, p < 0.0001","LRT = 19.2928, p = 0","Three-level"
350,2,"Maize","Malawi","intercropping",NA,NA,"annual crops","n fixing","diversity adoption (1=yes, 0=no)","Received Agricultural Extension (e.g. Cropping, Spacing) from National Ministry or a Private Business within past year","access to agricultural extension","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"full logit regression models","logit","B",0.14,0.14,"Z","-0.73",-0.73,"na",NA,"na",NA,"-0.73",-0.73,"nd",NA,"nd",18,18,617,617,"no limitation","access to agricultural extension (1= yes, 0= no)","B_Z","logit_B_Z",-0.73,0.14,-0.191780821917808,"Africa","Eastern Africa","Developing regions","Intercropping",1,1,"0.44",0,1,2014,"Technical information","Access to extension","1= yes","1= yes",53,1,"1","Access to extension (1= yes)",320,-0.0298386277401798,0.00166647763823219,"Technical information",-67.7807,-50.9383,-39.2178,"LRT = 18.8424, p < 0.0001","LRT = 30.5629, p = 0","Three-level"
391,1,"nd","Ghana","integrated crop-livestock",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","farm size","farm size","ha","ha","continuous","none",NA,"Cragg two-step regression model -Step 1 Probit","probit","B",0.35,0.35,"SE","0.2",0.2,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",17,17,608,608,"no limitation","farm size (ha)","B_SE","probit_B_SE",1.75,0.56,0.32,"Africa","Western Africa","Developing regions","Agro-silvopasture",1,1,"7",1,1,2016,"Physical capital","Farm size","continuous","ha",83,1,"1","Farm size (continuous)",337,0.0718600999117126,0.00167461745799598,"Physical capital",-81.0907,137.5399,-72.3685,"LRT = 220.6305, p < 0.0001","LRT = 10.7222, p = 0.0011","Three-level"
391,1,"nd","Ghana","integrated crop-livestock",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","market distance","distance to market","km","km","continuous","none",NA,"Cragg two-step regression model -Step 1 Probit","probit","B",0.055,0.055,"SE","5.8999999999999997E-2",0.059,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",17,17,608,608,"no limitation","distance to market (km)","B_SE","probit_B_SE",0.932203389830509,0.088,0.0944,"Africa","Western Africa","Developing regions","Agro-silvopasture",1,1,"7",1,1,2016,"Accessibility","Distance market","continuous","km",13,1,"1","Distance market (continuous)",339,0.0383499740181391,0.00168707397970292,"Accessibility",3.1385,318.8201,6.8742,"LRT = 317.6816, p < 0.0001","LRT = 5.7357, p = 0.0166","Three-level"
391,1,"nd","Ghana","integrated crop-livestock",NA,NA,NA,NA,"diversity adoption (1=yes, 0=no)","extension","access to agricultural extension","1= yes, 0= no","1= yes, 0= no","categorical (binary)","none",NA,"Cragg two-step regression model -Step 1 Probit","probit","B",0.1,0.1,"SE","0.27",0.27,"na",NA,"na",NA,"nd",NA,"nd",NA,"nd",17,17,608,608,"no limitation","access to agricultural extension (1= yes, 0= no)","B_SE","probit_B_SE",0.37037037037037,0.16,0.432,"Africa","Western Africa","Developing regions","Agro-silvopasture",1,1,"7",1,1,2016,"Technical information","Access to extension","1= yes","1= yes",53,1,"1","Access to extension (1= yes)",340,0.0152461345943576,0.00169126085412921,"Technical information",-67.7807,-50.9383,-39.2178,"LRT = 18.8424, p < 0.0001","LRT = 30.5629, p = 0","Three-level"
