"moderator","factor_sub_class","pcc_factor_unit","moderator_class","beta","ci.lb","ci.ub","tval","df","pval","f_test","significance2","significance"
"m_exact_variance_value","Physical capital","Farm size (continuous)","",-0.0022,-0.1048,0.1005,-0.0425,87,0.9662,"QM (1, 87) = 0.0018, p =0.9662","no_significant_negative","0.9662"
"m_exact_variance_value","Physical capital","Livestock units (continuous)","intrcpt",-0.0029,-0.2251,0.2194,-0.0266,26,0.979,"QM (1, 26) = 0.1368, p =0.7145","no_significant_negative","0.979"
"m_exact_variance_value","Physical capital","Livestock units (continuous)","",0.0434,-0.1976,0.2843,0.3699,26,0.7145,"QM (1, 26) = 0.1368, p =0.7145","no_significant_positive","0.7145"
"m_exact_variance_value","Social capital","Adults in household (continuous)","intrcpt",-0.0053,-0.2736,0.2631,-0.0421,14,0.967,"QM (1, 14) = 0.7197, p =0.4105","no_significant_negative","0.967"
"m_exact_variance_value","Social capital","Adults in household (continuous)","",0.1215,-0.1857,0.4287,0.8483,14,0.4105,"QM (1, 14) = 0.7197, p =0.4105","no_significant_positive","0.4105"
"m_exact_variance_value","Socio-demographic","Household size (continuous)","intrcpt",0.0205,-0.0955,0.1365,0.3526,66,0.7255,"QM (1, 66) = 0.0093, p =0.9237","no_significant_positive","0.7255"
"m_exact_variance_value","Socio-demographic","Household size (continuous)","",0.0061,-0.1207,0.1329,0.0962,66,0.9237,"QM (1, 66) = 0.0093, p =0.9237","no_significant_positive","0.9237"
"m_exact_variance_value","Social capital","Association member (1= yes)","intrcpt",0.052,-0.0825,0.1864,0.7745,55,0.442,"QM (1, 55) = 0.2152, p =0.6445","no_significant_positive","0.442"
"m_exact_variance_value","Social capital","Association member (1= yes)","",0.0346,-0.1148,0.184,0.4639,55,0.6445,"QM (1, 55) = 0.2152, p =0.6445","no_significant_positive","0.6445"
"m_exact_variance_value","Technical information","Access to extension (1= yes)","intrcpt",0.0364,-0.1143,0.1871,0.4854,50,0.6295,"QM (1, 50) = 0.3657, p =0.5481","no_significant_positive","0.6295"
"m_exact_variance_value","Technical information","Access to extension (1= yes)","",0.0487,-0.1131,0.2105,0.6048,50,0.5481,"QM (1, 50) = 0.3657, p =0.5481","no_significant_positive","0.5481"
"m_exact_variance_value","Accessibility","Distance farm-house (continuous)","intrcpt",0.0145,-0.2454,0.2745,0.1179,17,0.9076,"QM (1, 17) = 0.5193, p =0.481","no_significant_positive","0.9076"
"m_exact_variance_value","Accessibility","Distance farm-house (continuous)","",-0.0968,-0.3804,0.1867,-0.7206,17,0.481,"QM (1, 17) = 0.5193, p =0.481","no_significant_negative","0.481"
"m_exact_variance_value","Accessibility","Distance market (continuous)","intrcpt",0.0639,-0.3048,0.4327,0.3617,20,0.7214,"QM (1, 20) = 0.0764, p =0.7851","no_significant_positive","0.7214"
"m_exact_variance_value","Accessibility","Distance market (continuous)","",-0.0513,-0.4383,0.3358,-0.2764,20,0.7851,"QM (1, 20) = 0.0764, p =0.7851","no_significant_negative","0.7851"
"m_exact_variance_value","Technical information","Access to information (1= yes)","intrcpt",0.0803,-0.1738,0.3344,0.664,18,0.5151,"QM (1, 18) = 0.0654, p =0.801","no_significant_positive","0.5151"
"m_exact_variance_value","Technical information","Access to information (1= yes)","",0.0336,-0.2426,0.3098,0.2558,18,0.801,"QM (1, 18) = 0.0654, p =0.801","no_significant_positive","0.801"
"m_exact_variance_value","Financial capital","On-farm income (continuous)","intrcpt",0.0823,-0.1098,0.2745,0.9039,17,0.3787,"QM (1, 17) = 0, p =0.9963","no_significant_positive","0.3787"
"m_exact_variance_value","Financial capital","On-farm income (continuous)","",5e-04,-0.2242,0.2251,0.0047,17,0.9963,"QM (1, 17) = 0, p =0.9963","no_significant_positive","0.9963"
"m_exact_variance_value","Technical information","Awareness of practice (1= yes)","intrcpt",-0.0319,-0.6232,0.5594,-0.122,9,0.9056,"QM (1, 9) = 0.755, p =0.4075","no_significant_negative","0.9056"
"m_exact_variance_value","Technical information","Awareness of practice (1= yes)","",0.2389,-0.3831,0.861,0.8689,9,0.4075,"QM (1, 9) = 0.755, p =0.4075","no_significant_positive","0.4075"
"m_type_data","Physical capital","Farm size (continuous)","intrcpt",0.0507,-0.0756,0.1771,0.7979,86,0.4271,"QM (1, 86) = 0.06, p =0.807","no_significant_positive","0.4271"
"m_type_data","Physical capital","Farm size (continuous)","",-0.0163,-0.1484,0.1158,-0.245,86,0.807,"QM (1, 86) = 0.06, p =0.807","no_significant_negative","0.807"
"m_type_data","Physical capital","Livestock units (continuous)","intrcpt",0.0195,-0.1815,0.2205,0.1994,26,0.8435,"QM (1, 26) = 0.027, p =0.8707","no_significant_positive","0.8435"
"m_type_data","Physical capital","Livestock units (continuous)","",0.0178,-0.2046,0.2402,0.1643,26,0.8707,"QM (1, 26) = 0.027, p =0.8707","no_significant_positive","0.8707"
"m_type_data","Social capital","Adults in household (continuous)","intrcpt",-0.0042,-0.3704,0.3619,-0.0249,14,0.9805,"QM (1, 14) = 0.3322, p =0.5735","no_significant_negative","0.9805"
"m_type_data","Social capital","Adults in household (continuous)","",0.1056,-0.2873,0.4984,0.5763,14,0.5735,"QM (1, 14) = 0.3322, p =0.5735","no_significant_positive","0.5735"
"m_type_data","Socio-demographic","Household size (continuous)","intrcpt",-0.0288,-0.1835,0.1259,-0.3717,65,0.7114,"QM (1, 65) = 0.5542, p =0.4593","no_significant_negative","0.7114"
"m_type_data","Socio-demographic","Household size (continuous)","",0.0606,-0.1019,0.2231,0.7444,65,0.4593,"QM (1, 65) = 0.5542, p =0.4593","no_significant_positive","0.4593"
"m_type_data","Social capital","Association member (1= yes)","intrcpt",0.0171,-0.1465,0.1808,0.21,54,0.8344,"QM (1, 54) = 0.7146, p =0.4016","no_significant_positive","0.8344"
"m_type_data","Social capital","Association member (1= yes)","",0.074,-0.1015,0.2496,0.8454,54,0.4016,"QM (1, 54) = 0.7146, p =0.4016","no_significant_positive","0.4016"
"m_type_data","Technical information","Access to extension (1= yes)","intrcpt",-0.1401,-0.2997,0.0195,-1.7645,49,0.0839,"QM (1, 49) = 8.5706, p =0.0052","no_significant_negative","0.0839"
"m_type_data","Technical information","Access to extension (1= yes)","",0.2458,0.0771,0.4146,2.9276,49,0.0052,"QM (1, 49) = 8.5706, p =0.0052","significant_positive","0.0052**"
"m_type_data","Accessibility","Distance farm-house (continuous)","intrcpt",-0.2179,-0.4271,-0.0088,-2.1982,17,0.0421,"QM (1, 17) = 2.9646, p =0.1032","significant_negative","0.0421*"
"m_type_data","Accessibility","Distance farm-house (continuous)","",0.1929,-0.0435,0.4293,1.7218,17,0.1032,"QM (1, 17) = 2.9646, p =0.1032","no_significant_positive","0.1032"
"m_type_data","Accessibility","Distance market (continuous)","intrcpt",-0.2267,-0.5024,0.0491,-1.7148,20,0.1018,"QM (1, 20) = 3.9784, p =0.0599","no_significant_negative","0.1018"
"m_type_data","Accessibility","Distance market (continuous)","",0.2846,-0.013,0.5823,1.9946,20,0.0599,"QM (1, 20) = 3.9784, p =0.0599","no_significant_positive","0.0599"
"m_type_data","Financial capital","On-farm income (continuous)","intrcpt",0.0487,-0.3966,0.494,0.231,17,0.8201,"QM (1, 17) = 0.0272, p =0.8708","no_significant_positive","0.8201"
"m_type_data","Financial capital","On-farm income (continuous)","",0.0357,-0.4211,0.4925,0.1651,17,0.8708,"QM (1, 17) = 0.0272, p =0.8708","no_significant_positive","0.8708"
"m_sampling_unit","Physical capital","Farm size (continuous)","intrcpt",0.0289,-0.063,0.1208,0.6252,87,0.5335,"QM (1, 87) = 0.0237, p =0.8779","no_significant_positive","0.5335"
"m_sampling_unit","Physical capital","Farm size (continuous)","",0.0078,-0.0924,0.1079,0.1541,87,0.8779,"QM (1, 87) = 0.0237, p =0.8779","no_significant_positive","0.8779"
"m_sampling_unit","Physical capital","Livestock units (continuous)","intrcpt",0.1026,-0.0635,0.2688,1.2698,26,0.2154,"QM (1, 26) = 0.9738, p =0.3328","no_significant_positive","0.2154"
"m_sampling_unit","Physical capital","Livestock units (continuous)","",-0.0927,-0.2857,0.1004,-0.9868,26,0.3328,"QM (1, 26) = 0.9738, p =0.3328","no_significant_negative","0.3328"
"m_sampling_unit","Social capital","Adults in household (continuous)","intrcpt",0.0783,-0.2973,0.4539,0.4472,14,0.6616,"QM (1, 14) = 0.0031, p =0.9563","no_significant_positive","0.6616"
"m_sampling_unit","Social capital","Adults in household (continuous)","",0.0105,-0.3916,0.4125,0.0558,14,0.9563,"QM (1, 14) = 0.0031, p =0.9563","no_significant_positive","0.9563"
"m_sampling_unit","Socio-demographic","Household size (continuous)","intrcpt",0.0348,-0.0846,0.1542,0.5819,66,0.5626,"QM (1, 66) = 0.028, p =0.8677","no_significant_positive","0.5626"
"m_sampling_unit","Socio-demographic","Household size (continuous)","",-0.0109,-0.1407,0.1189,-0.1672,66,0.8677,"QM (1, 66) = 0.028, p =0.8677","no_significant_negative","0.8677"
"m_sampling_unit","Social capital","Association member (1= yes)","intrcpt",0.0169,-0.1224,0.1563,0.2433,55,0.8087,"QM (1, 55) = 0.9952, p =0.3228","no_significant_positive","0.8087"
"m_sampling_unit","Social capital","Association member (1= yes)","",0.0764,-0.0771,0.2298,0.9976,55,0.3228,"QM (1, 55) = 0.9952, p =0.3228","no_significant_positive","0.3228"
"m_sampling_unit","Technical information","Access to extension (1= yes)","intrcpt",0.0336,-0.1039,0.1711,0.4906,50,0.6258,"QM (1, 50) = 0.5156, p =0.4761","no_significant_positive","0.6258"
"m_sampling_unit","Technical information","Access to extension (1= yes)","",0.0536,-0.0963,0.2036,0.7181,50,0.4761,"QM (1, 50) = 0.5156, p =0.4761","no_significant_positive","0.4761"
"m_sampling_unit","Accessibility","Distance farm-house (continuous)","intrcpt",-0.0169,-0.2165,0.1828,-0.1781,17,0.8607,"QM (1, 17) = 0.3838, p =0.5438","no_significant_negative","0.8607"
"m_sampling_unit","Accessibility","Distance farm-house (continuous)","",-0.0687,-0.3028,0.1653,-0.6195,17,0.5438,"QM (1, 17) = 0.3838, p =0.5438","no_significant_negative","0.5438"
"m_sampling_unit","Accessibility","Distance market (continuous)","intrcpt",-0.0232,-0.3125,0.266,-0.1676,20,0.8686,"QM (1, 20) = 0.101, p =0.754","no_significant_negative","0.8686"
"m_sampling_unit","Accessibility","Distance market (continuous)","",0.0478,-0.2659,0.3615,0.3177,20,0.754,"QM (1, 20) = 0.101, p =0.754","no_significant_positive","0.754"
"m_sampling_unit","Technical information","Access to information (1= yes)","intrcpt",0.0361,-0.2174,0.2896,0.2991,18,0.7683,"QM (1, 18) = 0.4281, p =0.5212","no_significant_positive","0.7683"
"m_sampling_unit","Technical information","Access to information (1= yes)","",0.0857,-0.1895,0.3609,0.6543,18,0.5212,"QM (1, 18) = 0.4281, p =0.5212","no_significant_positive","0.5212"
"m_sampling_unit","Financial capital","On-farm income (continuous)","intrcpt",0.0162,-0.2298,0.2622,0.1389,17,0.8911,"QM (1, 17) = 0.3878, p =0.5417","no_significant_positive","0.8911"
"m_sampling_unit","Financial capital","On-farm income (continuous)","",0.0792,-0.1892,0.3477,0.6228,17,0.5417,"QM (1, 17) = 0.3878, p =0.5417","no_significant_positive","0.5417"
"m_mean_farm_size_ha","Physical capital","Farm size (continuous)","intrcpt",0.0252,-0.0161,0.0665,1.2171,77,0.2273,"QM (1, 121) = 0.0025, p =0.9605","no_significant_positive","0.2273"
"m_mean_farm_size_ha","Physical capital","Farm size (continuous)","",0,-2e-04,2e-04,-0.0497,121,0.9605,"QM (1, 121) = 0.0025, p =0.9605","no_significant_negative","0.9605"
"m_mean_farm_size_ha","Physical capital","Livestock units (continuous)","intrcpt",0.0048,-0.0936,0.1032,0.1006,22,0.9208,"QM (1, 40) = 0.9389, p =0.3384","no_significant_positive","0.9208"
"m_mean_farm_size_ha","Physical capital","Livestock units (continuous)","",0.0043,-0.0046,0.0132,0.969,40,0.3384,"QM (1, 40) = 0.9389, p =0.3384","no_significant_positive","0.3384"
"m_mean_farm_size_ha","Social capital","Adults in household (continuous)","intrcpt",0.055,-0.2238,0.3337,0.4342,11,0.6726,"QM (1, 19) = 0.1873, p =0.67","no_significant_positive","0.6726"
"m_mean_farm_size_ha","Social capital","Adults in household (continuous)","",0.0196,-0.075,0.1142,0.4328,19,0.67,"QM (1, 19) = 0.1873, p =0.67","no_significant_positive","0.67"
"m_mean_farm_size_ha","Socio-demographic","Household size (continuous)","intrcpt",0.0331,-0.024,0.0902,1.1632,54,0.2499,"QM (1, 84) = 2e-04, p =0.988","no_significant_positive","0.2499"
"m_mean_farm_size_ha","Socio-demographic","Household size (continuous)","",0,-0.0017,0.0017,-0.0151,84,0.988,"QM (1, 84) = 2e-04, p =0.988","no_significant_negative","0.988"
"m_mean_farm_size_ha","Social capital","Association member (1= yes)","intrcpt",0.0762,0.0061,0.1464,2.1896,45,0.0338,"QM (1, 81) = 0.1269, p =0.7225","significant_positive","0.0338*"
"m_mean_farm_size_ha","Social capital","Association member (1= yes)","",-1e-04,-5e-04,4e-04,-0.3563,81,0.7225,"QM (1, 81) = 0.1269, p =0.7225","no_significant_negative","0.7225"
"m_mean_farm_size_ha","Technical information","Access to extension (1= yes)","intrcpt",0.079,0.0041,0.1539,2.1377,37,0.0392,"QM (1, 56) = 0.0191, p =0.8906","significant_positive","0.0392*"
"m_mean_farm_size_ha","Technical information","Access to extension (1= yes)","",1e-04,-0.001,0.0012,0.1382,56,0.8906,"QM (1, 56) = 0.0191, p =0.8906","no_significant_positive","0.8906"
"m_mean_farm_size_ha","Accessibility","Distance farm-house (continuous)","intrcpt",-0.1167,-0.2846,0.0512,-1.4817,15,0.1591,"QM (1, 29) = 0.7545, p =0.3922","no_significant_negative","0.1591"
"m_mean_farm_size_ha","Accessibility","Distance farm-house (continuous)","",0.0292,-0.0395,0.0978,0.8686,29,0.3922,"QM (1, 29) = 0.7545, p =0.3922","no_significant_positive","0.3922"
"m_mean_farm_size_ha","Accessibility","Distance market (continuous)","intrcpt",-0.0421,-0.2432,0.1591,-0.4413,17,0.6646,"QM (1, 17) = 0.4603, p =0.5066","no_significant_negative","0.6646"
"m_mean_farm_size_ha","Accessibility","Distance market (continuous)","",0.0223,-0.0471,0.0917,0.6785,17,0.5066,"QM (1, 17) = 0.4603, p =0.5066","no_significant_positive","0.5066"
"m_mean_farm_size_ha","Technical information","Access to information (1= yes)","intrcpt",0.1079,-0.0141,0.2299,1.8851,15,0.0789,"QM (1, 15) = 0.2784, p =0.6055","no_significant_positive","0.0789"
"m_mean_farm_size_ha","Technical information","Access to information (1= yes)","",4e-04,-0.0014,0.0023,0.5277,15,0.6055,"QM (1, 15) = 0.2784, p =0.6055","no_significant_positive","0.6055"
"m_mean_farm_size_ha","Financial capital","On-farm income (continuous)","intrcpt",0.1126,-0.0185,0.2436,1.8559,13,0.0863,"QM (1, 13) = 0.0423, p =0.8403","no_significant_positive","0.0863"
"m_mean_farm_size_ha","Financial capital","On-farm income (continuous)","",0,-5e-04,4e-04,-0.2056,13,0.8403,"QM (1, 13) = 0.0423, p =0.8403","no_significant_negative","0.8403"
"m_mean_farm_size_ha","Technical information","Awareness of practice (1= yes)","intrcpt",0.0343,-0.128,0.1966,0.5427,5,0.6106,"QM (1, 5) = 0.2307, p =0.6513","no_significant_positive","0.6106"
"m_mean_farm_size_ha","Technical information","Awareness of practice (1= yes)","",0.0063,-0.0272,0.0397,0.4803,5,0.6513,"QM (1, 5) = 0.2307, p =0.6513","no_significant_positive","0.6513"
"n_samples_num","Physical capital","Farm size (continuous)","intrcpt",0.0362,-0.0017,0.074,1.9004,87,0.0607,"QM (1, 136) = 0.0213, p =0.8843","no_significant_positive","0.0607"
"n_samples_num","Physical capital","Farm size (continuous)","",0,0,0,-0.1458,136,0.8843,"QM (1, 136) = 0.0213, p =0.8843","no_significant_negative","0.8843"
"n_samples_num","Physical capital","Livestock units (continuous)","intrcpt",0.0334,-0.0526,0.1195,0.7994,26,0.4313,"QM (1, 52) = 0.0039, p =0.9504","no_significant_positive","0.4313"
"n_samples_num","Physical capital","Livestock units (continuous)","",0,0,0,0.0625,52,0.9504,"QM (1, 52) = 0.0039, p =0.9504","no_significant_positive","0.9504"
"n_samples_num","Social capital","Adults in household (continuous)","intrcpt",0.0966,-0.046,0.2392,1.4534,14,0.1682,"QM (1, 22) = 0.138, p =0.7138","no_significant_positive","0.1682"
"n_samples_num","Social capital","Adults in household (continuous)","",0,0,0,-0.3715,22,0.7138,"QM (1, 22) = 0.138, p =0.7138","no_significant_negative","0.7138"
"n_samples_num","Socio-demographic","Household size (continuous)","intrcpt",0.0263,-0.0203,0.0728,1.1274,66,0.2637,"QM (1, 106) = 0.1864, p =0.6668","no_significant_positive","0.2637"
"n_samples_num","Socio-demographic","Household size (continuous)","",0,0,0,-0.4318,106,0.6668,"QM (1, 106) = 0.1864, p =0.6668","no_significant_negative","0.6668"
"n_samples_num","Social capital","Association member (1= yes)","intrcpt",0.0837,0.0235,0.1438,2.7872,55,0.0073,"QM (1, 97) = 0.268, p =0.6059","significant_positive","0.0073**"
"n_samples_num","Social capital","Association member (1= yes)","",0,0,0,-0.5177,97,0.6059,"QM (1, 97) = 0.268, p =0.6059","no_significant_negative","0.6059"
"n_samples_num","Technical information","Access to extension (1= yes)","intrcpt",0.0904,0.0334,0.1474,3.1856,50,0.0025,"QM (1, 78) = 1.772, p =0.187","significant_positive","0.0025**"
"n_samples_num","Technical information","Access to extension (1= yes)","",0,0,0,-1.3312,78,0.187,"QM (1, 78) = 1.772, p =0.187","no_significant_negative","0.187"
"n_samples_num","Accessibility","Distance farm-house (continuous)","intrcpt",-0.0702,-0.1739,0.0335,-1.4287,17,0.1712,"QM (1, 31) = 0.24, p =0.6276","no_significant_negative","0.1712"
"n_samples_num","Accessibility","Distance farm-house (continuous)","",0,0,0,0.4899,31,0.6276,"QM (1, 31) = 0.24, p =0.6276","no_significant_positive","0.6276"
"n_samples_num","Accessibility","Distance market (continuous)","intrcpt",0.1654,0.0417,0.2891,2.7895,20,0.0113,"QM (1, 20) = 12.8451, p =0.0019","significant_positive","0.0113*"
"n_samples_num","Accessibility","Distance market (continuous)","",-1e-04,-2e-04,-1e-04,-3.584,20,0.0019,"QM (1, 20) = 12.8451, p =0.0019","significant_negative","0.0019**"
"n_samples_num","Technical information","Access to information (1= yes)","intrcpt",0.1371,0.0077,0.2665,2.2268,18,0.039,"QM (1, 18) = 0.5041, p =0.4868","significant_positive","0.039*"
"n_samples_num","Technical information","Access to information (1= yes)","",0,-1e-04,1e-04,-0.71,18,0.4868,"QM (1, 18) = 0.5041, p =0.4868","no_significant_negative","0.4868"
"n_samples_num","Financial capital","On-farm income (continuous)","intrcpt",0.1027,-0.0135,0.219,1.8639,17,0.0797,"QM (1, 31) = 0.4634, p =0.5011","no_significant_positive","0.0797"
"n_samples_num","Financial capital","On-farm income (continuous)","",0,-1e-04,1e-04,-0.6807,31,0.5011,"QM (1, 31) = 0.4634, p =0.5011","no_significant_negative","0.5011"
"n_samples_num","Technical information","Awareness of practice (1= yes)","intrcpt",0.2594,0.0344,0.4845,2.6079,9,0.0284,"QM (1, 14) = 1.5113, p =0.2392","significant_positive","0.0284*"
"n_samples_num","Technical information","Awareness of practice (1= yes)","",-1e-04,-4e-04,1e-04,-1.2293,14,0.2392,"QM (1, 14) = 1.5113, p =0.2392","no_significant_negative","0.2392"
"n_predictors_num","Physical capital","Farm size (continuous)","intrcpt",0.0794,-0.0079,0.1668,1.807,87,0.0742,"QM (1, 136) = 1.2125, p =0.2728","no_significant_positive","0.0742"
"n_predictors_num","Physical capital","Farm size (continuous)","",-0.0026,-0.0072,0.0021,-1.1011,136,0.2728,"QM (1, 136) = 1.2125, p =0.2728","no_significant_negative","0.2728"
"n_predictors_num","Physical capital","Livestock units (continuous)","intrcpt",0.0406,-0.209,0.2903,0.3345,26,0.7407,"QM (1, 52) = 0.0034, p =0.9539","no_significant_positive","0.7407"
"n_predictors_num","Physical capital","Livestock units (continuous)","",-3e-04,-0.0107,0.0101,-0.0581,52,0.9539,"QM (1, 52) = 0.0034, p =0.9539","no_significant_negative","0.9539"
"n_predictors_num","Social capital","Adults in household (continuous)","intrcpt",0.1219,-0.2195,0.4633,0.7657,14,0.4566,"QM (1, 22) = 0.0553, p =0.8163","no_significant_positive","0.4566"
"n_predictors_num","Social capital","Adults in household (continuous)","",-0.0019,-0.0185,0.0147,-0.2351,22,0.8163,"QM (1, 22) = 0.0553, p =0.8163","no_significant_negative","0.8163"
"n_predictors_num","Socio-demographic","Household size (continuous)","intrcpt",0.0958,-0.0214,0.2129,1.6317,66,0.1075,"QM (1, 106) = 1.692, p =0.1962","no_significant_positive","0.1075"
"n_predictors_num","Socio-demographic","Household size (continuous)","",-0.0038,-0.0096,0.002,-1.3008,106,0.1962,"QM (1, 106) = 1.692, p =0.1962","no_significant_negative","0.1962"
"n_predictors_num","Social capital","Association member (1= yes)","intrcpt",0.086,-0.0604,0.2323,1.177,55,0.2443,"QM (1, 97) = 0.008, p =0.9288","no_significant_positive","0.2443"
"n_predictors_num","Social capital","Association member (1= yes)","",-3e-04,-0.0077,0.007,-0.0896,97,0.9288,"QM (1, 97) = 0.008, p =0.9288","no_significant_negative","0.9288"
"n_predictors_num","Technical information","Access to extension (1= yes)","intrcpt",0.2044,0.0779,0.3309,3.2466,50,0.0021,"QM (1, 78) = 4.8435, p =0.0307","significant_positive","0.0021**"
"n_predictors_num","Technical information","Access to extension (1= yes)","",-0.0073,-0.014,-7e-04,-2.2008,78,0.0307,"QM (1, 78) = 4.8435, p =0.0307","significant_negative","0.0307*"
"n_predictors_num","Accessibility","Distance farm-house (continuous)","intrcpt",0.0086,-0.2991,0.3164,0.0592,17,0.9535,"QM (1, 31) = 0.3026, p =0.5862","no_significant_positive","0.9535"
"n_predictors_num","Accessibility","Distance farm-house (continuous)","",-0.0031,-0.0144,0.0083,-0.5501,31,0.5862,"QM (1, 31) = 0.3026, p =0.5862","no_significant_negative","0.5862"
"n_predictors_num","Accessibility","Distance market (continuous)","intrcpt",0.3996,0.1203,0.6788,2.9849,20,0.0073,"QM (1, 33) = 9.1326, p =0.0048","significant_positive","0.0073**"
"n_predictors_num","Accessibility","Distance market (continuous)","",-0.0169,-0.0284,-0.0055,-3.022,33,0.0048,"QM (1, 33) = 9.1326, p =0.0048","significant_negative","0.0048**"
"n_predictors_num","Technical information","Access to information (1= yes)","intrcpt",0.1341,-0.1463,0.4146,1.0048,18,0.3283,"QM (1, 18) = 0.0414, p =0.841","no_significant_positive","0.3283"
"n_predictors_num","Technical information","Access to information (1= yes)","",-0.0014,-0.0157,0.0129,-0.2035,18,0.841,"QM (1, 18) = 0.0414, p =0.841","no_significant_negative","0.841"
"n_predictors_num","Financial capital","On-farm income (continuous)","intrcpt",0.1333,-0.147,0.4135,1.0031,17,0.3299,"QM (1, 31) = 0.1653, p =0.6871","no_significant_positive","0.3299"
"n_predictors_num","Financial capital","On-farm income (continuous)","",-0.0032,-0.0195,0.013,-0.4065,31,0.6871,"QM (1, 31) = 0.1653, p =0.6871","no_significant_negative","0.6871"
"n_predictors_num","Technical information","Awareness of practice (1= yes)","intrcpt",0.3704,0.0956,0.6453,3.0489,9,0.0138,"QM (1, 14) = 3.6962, p =0.0751","significant_positive","0.0138*"
"n_predictors_num","Technical information","Awareness of practice (1= yes)","",-0.0114,-0.024,0.0013,-1.9225,14,0.0751,"QM (1, 14) = 3.6962, p =0.0751","no_significant_negative","0.0751"
"m_av_year_assessment","Physical capital","Farm size (continuous)","intrcpt",4.3609,-4.8053,13.527,0.948,74,0.3462,"QM (1, 117) = 0.8803, p =0.35","no_significant_positive","0.3462"
"m_av_year_assessment","Physical capital","Farm size (continuous)","",-0.0021,-0.0067,0.0024,-0.9383,117,0.35,"QM (1, 117) = 0.8803, p =0.35","no_significant_negative","0.35"
"m_av_year_assessment","Physical capital","Livestock units (continuous)","intrcpt",1.5876,-9.4655,12.6408,0.2979,22,0.7686,"QM (1, 46) = 0.0802, p =0.7783","no_significant_positive","0.7686"
"m_av_year_assessment","Physical capital","Livestock units (continuous)","",-8e-04,-0.0061,0.0046,-0.2833,46,0.7783,"QM (1, 46) = 0.0802, p =0.7783","no_significant_negative","0.7783"
"m_av_year_assessment","Social capital","Adults in household (continuous)","intrcpt",-0.0541,-14.9586,14.8503,-0.0079,12,0.9938,"QM (1, 18) = 2e-04, p =0.988","no_significant_negative","0.9938"
"m_av_year_assessment","Social capital","Adults in household (continuous)","",1e-04,-0.0071,0.0072,0.0152,18,0.988,"QM (1, 18) = 2e-04, p =0.988","no_significant_positive","0.988"
"m_av_year_assessment","Socio-demographic","Household size (continuous)","intrcpt",-2.8125,-15.2937,9.6687,-0.4516,55,0.6533,"QM (1, 55) = 0.2062, p =0.6516","no_significant_negative","0.6533"
"m_av_year_assessment","Socio-demographic","Household size (continuous)","",0.0014,-0.0048,0.0076,0.4541,55,0.6516,"QM (1, 55) = 0.2062, p =0.6516","no_significant_positive","0.6516"
"m_av_year_assessment","Social capital","Association member (1= yes)","intrcpt",-1.7808,-17.4822,13.9205,-0.2279,49,0.8207,"QM (1, 49) = 0.0551, p =0.8154","no_significant_negative","0.8207"
"m_av_year_assessment","Social capital","Association member (1= yes)","",9e-04,-0.0069,0.0087,0.2347,49,0.8154,"QM (1, 49) = 0.0551, p =0.8154","no_significant_positive","0.8154"
"m_av_year_assessment","Technical information","Access to extension (1= yes)","intrcpt",4.2392,-8.2272,16.7055,0.6858,43,0.4965,"QM (1, 43) = 0.459, p =0.5017","no_significant_positive","0.4965"
"m_av_year_assessment","Technical information","Access to extension (1= yes)","",-0.0021,-0.0083,0.0041,-0.6775,43,0.5017,"QM (1, 43) = 0.459, p =0.5017","no_significant_negative","0.5017"
"m_av_year_assessment","Accessibility","Distance farm-house (continuous)","intrcpt",10.502,-22.2575,43.2615,0.6833,15,0.5048,"QM (1, 15) = 0.4731, p =0.5021","no_significant_positive","0.5048"
"m_av_year_assessment","Accessibility","Distance farm-house (continuous)","",-0.0053,-0.0216,0.011,-0.6878,15,0.5021,"QM (1, 15) = 0.4731, p =0.5021","no_significant_negative","0.5021"
"m_av_year_assessment","Accessibility","Distance market (continuous)","intrcpt",14.8094,-25.3311,54.9499,0.7913,14,0.442,"QM (1, 14) = 0.6299, p =0.4407","no_significant_positive","0.442"
"m_av_year_assessment","Accessibility","Distance market (continuous)","",-0.0074,-0.0273,0.0126,-0.7936,14,0.4407,"QM (1, 14) = 0.6299, p =0.4407","no_significant_negative","0.4407"
"m_av_year_assessment","Technical information","Access to information (1= yes)","intrcpt",-4.9832,-18.0334,8.0669,-0.8139,15,0.4284,"QM (1, 15) = 0.6754, p =0.4241","no_significant_negative","0.4284"
"m_av_year_assessment","Technical information","Access to information (1= yes)","",0.0025,-0.004,0.009,0.8218,15,0.4241,"QM (1, 15) = 0.6754, p =0.4241","no_significant_positive","0.4241"
"m_av_year_assessment","Financial capital","On-farm income (continuous)","intrcpt",9.3991,-1.8698,20.6681,1.8019,13,0.0948,"QM (1, 13) = 3.2215, p =0.096","no_significant_positive","0.0948"
"m_av_year_assessment","Financial capital","On-farm income (continuous)","",-0.0047,-0.0103,9e-04,-1.7948,13,0.096,"QM (1, 13) = 3.2215, p =0.096","no_significant_negative","0.096"
"m_av_year_assessment","Technical information","Awareness of practice (1= yes)","intrcpt",-8.6827,-49.7525,32.3872,-0.4875,8,0.639,"QM (1, 8) = 0.2489, p =0.6313","no_significant_negative","0.639"
"m_av_year_assessment","Technical information","Awareness of practice (1= yes)","",0.0044,-0.0161,0.0249,0.4989,8,0.6313,"QM (1, 8) = 0.2489, p =0.6313","no_significant_positive","0.6313"
